tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1276, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52573, b_ADM1_ES: Nariño, b_ADM2_ES: Puerres, au_area_km2: 349.01

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1277, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52287, b_ADM1_ES: Nariño, b_ADM2_ES: Funes, au_area_km2: 393.48

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1303, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41020, b_ADM1_ES: Huila, b_ADM2_ES: Algeciras, au_area_km2: 589.42

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1304, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41306, b_ADM1_ES: Huila, b_ADM2_ES: Gigante, au_area_km2: 503.38

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1305, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41799, b_ADM1_ES: Huila, b_ADM2_ES: Tello, au_area_km2: 530.23

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1307, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41006, b_ADM1_ES: Huila, b_ADM2_ES: Acevedo, au_area_km2: 539.91

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1308, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41530, b_ADM1_ES: Huila, b_ADM2_ES: Palestina, au_area_km2: 177.98

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1311, b_ADM1_PCODE: CO19, b_ADM2_PCODE: CO19533, b_ADM1_ES: Cauca, b_ADM2_ES: Piamonte, au_area_km2: 1103.07

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1313, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41551, b_ADM1_ES: Huila, b_ADM2_ES: Pitalito, au_area_km2: 629.86

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1314, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41770, b_ADM1_ES: Huila, b_ADM2_ES: Suaza, au_area_km2: 429.27

