Year: 2020, Count: 4273

Year: 2019, Count: 12771

Year: 2018, Count: 10995

Year: 2017, Count: 8149

Year: 2016, Count: 6759

Year: 2015, Count: 6767

Year: 2014, Count: 6888

Year: 2013, Count: 6811

Year: 2012, Count: 5549

Year: 2011, Count: 5279

Year: 2010, Count: 4471

Year: 2009, Count: 4641

Year: 2008, Count: 4903

Year: 2007, Count: 4466

Year: 2006, Count: 4065

Year: 2005, Count: 3639

Year: 2004, Count: 2762

Year: 2003, Count: 1802

Year: 2002, Count: 1462

Year: 2001, Count: 1343

Year: 2000, Count: 1248

Year: 1999, Count: 1060

Year: 1998, Count: 1025

Year: 1997, Count: 982

Year: 1996, Count: 862

Year: 1995, Count: 905

Year: 1994, Count: 729

Year: 1993, Count: 610

Year: 1992, Count: 438

Year: 1991, Count: 456

Year: 1990, Count: 372

Year: 1989, Count: 295

Year: 1988, Count: 219

Year: 1987, Count: 198

Year: 1986, Count: 165

Year: 1985, Count: 64

Year: 1984, Count: 30

Year: 1983, Count: 23

Year: 1982, Count: 13

Year: 1981, Count: 11

Year: 1980, Count: 12

Year: 1979, Count: 4

Year: 1978, Count: 3

Year: 1977, Count: 5

Year: 1976, Count: 7

Year: 1975, Count: 5

Year: 1974, Count: 7

Year: 1973, Count: 6

Year: 1972, Count: 5

Year: 1971, Count: 3

Year: 1970, Count: 2

Year: 1969, Count: 1

Year: 1968, Count: 5

Year: 1967, Count: 3

Year: 1966, Count: 2

Year: 1965, Count: 4

Year: 1964, Count: 5

Year: 1963, Count: 5

Year: 1962, Count: 6

Year: 1961, Count: 3

Year: 1960, Count: 1

Year: 1958, Count: 1

Year: 1956, Count: 1

Year: 1954, Count: 1

Year: 1953, Count: 1

Year: 1952, Count: 1

Year: 1951, Count: 1
